City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Sharjah,AE,25.3573,55.4033,71.58,68,0,3.44,clear sky
79,Bredasdorp,ZA,-34.5322,20.0403,63.23,77,100,4.34,overcast clouds
80,Noboribetsu,JP,42.4514,141.1731,42.96,74,100,17.09,overcast clouds
81,Albany,US,42.6001,-73.9662,30.61,97,90,1.34,overcast clouds
82,Sa Kaeo,TH,13.75,102.3333,73.13,76,90,9.95,overcast clouds
83,Sorland,NO,67.667,12.6934,34.45,42,100,17.49,overcast clouds
84,Padang,ID,-0.9492,100.3543,84.25,70,99,2.35,overcast clouds
85,Avarua,CK,-21.2078,-159.775,78.85,57,20,9.22,few clouds
86,Port Hardy,CA,50.6996,-127.4199,46.58,100,90,0.0,light rain
87,Stokmarknes,NO,68.5646,14.9108,29.61,61,100,10.2,light snow
88,Ketchikan,US,55.3422,-131.6461,34.27,93,90,0.0,overcast clouds
89,Palmer,US,42.1584,-72.3287,33.73,80,90,0.0,overcast clouds
90,Conakry,GN,9.538,-13.6773,82.08,79,72,7.18,broken clouds
91,Rapid Valley,US,44.0625,-103.1463,56.25,50,1,3.44,clear sky
92,Akdepe,TM,42.0551,59.3788,28.49,50,99,8.28,overcast clouds
93,Ayan,RU,56.45,138.1667,9.46,64,0,16.73,clear sky
94,Isangel,VU,-19.55,169.2667,86.11,70,66,8.05,broken clouds
95,Mahebourg,MU,-20.4081,57.7,73.69,83,75,4.61,broken clouds
96,Mtwara,TZ,-10.2667,40.1833,78.24,78,100,6.78,overcast clouds
97,Pevek,RU,69.7008,170.3133,2.84,95,100,2.35,overcast clouds
98,Nizhneangarsk,RU,55.7833,109.55,10.63,86,100,1.23,overcast clouds
99,Kavieng,PG,-2.5744,150.7967,83.77,75,97,9.46,light rain
100,Pingliang,CN,35.5392,106.6861,32.22,29,100,19.55,overcast clouds
101,Saint-Augustin,CA,51.226,-58.6502,33.71,90,90,17.69,overcast clouds
102,Humboldt,US,40.6665,-123.9178,43.34,96,5,1.95,clear sky
103,Yellowknife,CA,62.456,-114.3525,18.12,100,90,9.22,light snow
104,Praia,CV,14.9215,-23.5087,73.94,73,20,21.85,few clouds
105,Kapoeta,SS,4.7717,33.5903,78.28,58,14,10.92,few clouds
106,Oakdale,US,44.963,-92.9649,31.08,52,90,4.61,overcast clouds
107,Gizo,SB,-8.103,156.8419,85.39,68,99,6.11,light rain
108,Tasiilaq,GL,65.6145,-37.6368,26.76,94,100,8.81,overcast clouds
109,Makinsk,KZ,52.6292,70.4169,4.8,80,100,6.08,overcast clouds
110,Ponta Do Sol,PT,32.6667,-17.1,63.23,76,4,7.14,clear sky
111,Grand Gaube,MU,-20.0064,57.6608,73.8,67,1,8.1,clear sky
112,Fukue,JP,32.6881,128.8419,61.16,59,40,5.75,scattered clouds
113,Bengkulu,ID,-3.8004,102.2655,80.74,75,100,7.54,overcast clouds
114,Mvangue,CM,2.9667,11.5167,67.69,89,100,1.66,overcast clouds
115,Ilulissat,GL,69.2167,-51.1,26.62,54,100,2.3,overcast clouds
116,Mabaruma,GY,8.2,-59.7833,73.69,92,100,2.89,overcast clouds
117,Talnakh,RU,69.4865,88.3972,-17.75,99,99,4.74,overcast clouds
118,Ilheus,BR,-14.7889,-39.0494,73.81,93,95,6.93,overcast clouds
119,Zhuhai,CN,22.2769,113.5678,73.18,68,0,14.97,clear sky
120,Saskylakh,RU,71.9167,114.0833,-21.15,99,98,4.74,overcast clouds
121,Porto Novo,BJ,6.4965,2.6036,82.22,84,81,2.62,broken clouds
122,Melilla,ES,35.2937,-2.9383,59.38,58,75,19.57,broken clouds
123,Vanimo,PG,-2.6741,141.3028,85.59,70,69,4.47,broken clouds
124,Cabo San Lucas,MX,22.8909,-109.9124,75.51,73,75,8.05,broken clouds
125,Grindavik,IS,63.8424,-22.4338,41.47,87,90,12.66,overcast clouds
126,High Level,CA,58.5169,-117.136,14.11,92,90,9.22,overcast clouds
127,Vaini,TO,-21.2,-175.2,82.56,78,40,13.8,scattered clouds
128,Ojinaga,MX,29.5667,-104.4167,58.15,72,1,6.91,clear sky
129,Khatanga,RU,71.9667,102.5,-7.55,98,100,8.68,overcast clouds
130,Kutum,SD,14.2,24.6667,64.0,25,3,6.02,clear sky
131,Kholm,RU,59.2667,32.85,16.29,94,100,6.35,overcast clouds
132,Vila Velha,BR,-20.3297,-40.2925,69.75,94,90,3.44,overcast clouds
133,Guerrero Negro,MX,27.9769,-114.0611,68.18,57,0,9.04,clear sky
134,Butaritari,KI,3.0707,172.7902,81.68,78,99,12.24,light rain
135,Jumla,NP,29.2747,82.1838,51.28,28,4,1.79,clear sky
136,Sankt Veit,DE,49.1,10.95,31.48,95,97,4.56,light snow
137,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,18.41,scattered clouds
138,Chuy,UY,-33.6971,-53.4616,64.4,97,100,6.44,overcast clouds
139,Soyo,AO,-6.1349,12.3689,78.1,88,100,6.44,overcast clouds
140,East London,ZA,-33.0153,27.9116,65.23,76,2,7.07,clear sky
141,Batagay-Alyta,RU,67.8006,130.4114,-21.01,98,99,3.58,overcast clouds
142,Brigantine,US,39.4101,-74.3646,39.25,75,1,0.0,clear sky
143,Upernavik,GL,72.7868,-56.1549,-7.74,73,64,7.87,broken clouds
144,Imbituba,BR,-28.24,-48.6703,75.09,94,92,8.14,overcast clouds
145,Mahajanga,MG,-15.7167,46.3167,75.22,88,40,6.91,scattered clouds
146,Turukhansk,RU,65.8167,87.9833,-20.99,100,100,5.39,overcast clouds
147,Biltine,TD,14.5333,20.9167,74.34,17,0,10.49,clear sky
148,Tiksi,RU,71.6872,128.8694,-16.82,99,99,6.46,overcast clouds
149,Stade,DE,53.6,9.4833,33.8,94,91,3.85,overcast clouds
150,Arraial Do Cabo,BR,-22.9661,-42.0278,72.77,86,1,4.7,clear sky
151,Akyab,MM,20.15,92.9,79.43,61,88,6.44,overcast clouds
152,Harper,LR,4.375,-7.7169,78.87,84,17,6.67,light rain
153,Sola,VU,-13.8833,167.55,82.51,72,67,7.34,broken clouds
154,Victoria,HK,22.2855,114.1577,73.45,52,3,6.29,clear sky
155,Springbok,ZA,-29.6643,17.8865,53.31,86,0,1.95,clear sky
156,Rakiv Lis,UA,51.6217,24.9243,41.56,89,100,9.75,overcast clouds
157,Longyearbyen,SJ,78.2186,15.6401,12.04,62,75,26.46,broken clouds
158,Pakxe,LA,15.1167,105.7833,73.54,83,75,4.61,mist
159,Nome,US,64.5011,-165.4064,-16.53,63,1,3.44,clear sky
160,Kruisfontein,ZA,-34.0033,24.7314,58.21,87,15,6.08,few clouds
161,Sinnamary,GF,5.3833,-52.95,77.14,90,94,8.32,overcast clouds
162,Constitucion,CL,-35.3333,-72.4167,53.85,76,0,13.53,clear sky
163,Manta,EC,-0.95,-80.7333,73.18,88,20,13.8,few clouds
164,Windhoek,NA,-22.5594,17.0832,66.69,12,0,5.75,clear sky
165,Hilo,US,19.7297,-155.09,78.53,65,75,13.8,light rain
166,Dunedin,NZ,-45.8742,170.5036,64.9,54,19,7.29,few clouds
167,Yumen,CN,40.2833,97.2,29.79,25,0,13.47,clear sky
168,Whitianga,NZ,-36.8333,175.7,75.2,47,39,10.38,scattered clouds
169,Omboue,GA,-1.5746,9.2618,75.99,90,59,4.18,broken clouds
170,Leningradskiy,RU,69.3833,178.4167,-20.02,94,67,11.7,broken clouds
171,Mount Gambier,AU,-37.8333,140.7667,82.31,24,2,11.5,clear sky
172,Fairbanks,US,64.8378,-147.7164,-29.24,68,1,0.0,light snow
173,Airai,TL,-8.9266,125.4092,73.87,63,100,0.92,overcast clouds
174,Maumere,ID,-8.6199,122.2111,80.6,82,100,7.65,overcast clouds
175,Srandakan,ID,-7.9386,110.2506,83.37,65,100,5.03,overcast clouds
176,Amposta,ES,40.7131,0.581,47.03,68,55,24.87,broken clouds
177,Sokoni,TZ,-6.4333,39.55,80.4,77,87,6.15,light rain
178,Villa Bruzual,VE,9.3328,-69.1208,77.49,77,92,3.94,overcast clouds
179,Cervo,ES,43.6702,-7.4101,53.83,82,100,16.37,overcast clouds
180,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,75,4.61,broken clouds
181,Saldanha,ZA,-33.0117,17.9442,60.85,88,90,3.42,overcast clouds
182,Tazovskiy,RU,67.4667,78.7,-21.32,100,100,4.81,overcast clouds
183,Half Moon Bay,US,37.4636,-122.4286,62.46,68,1,9.22,clear sky
184,Kondoa,TZ,-4.9,35.7833,60.4,94,54,4.72,broken clouds
185,Baghmara,IN,23.795,86.2085,68.31,48,99,4.47,overcast clouds
186,Mehamn,NO,71.0357,27.8492,9.68,92,77,10.45,broken clouds
187,Hovd,MN,48.0056,91.6419,20.28,31,0,2.04,clear sky
188,Mbanza-Ngungu,CD,-5.25,14.8667,67.1,95,100,2.24,overcast clouds
189,Hervey Bay,AU,-25.2986,152.8535,75.31,93,100,13.22,light rain
190,Nicoya,CR,10.1483,-85.452,74.75,84,74,7.81,broken clouds
191,Cafarnaum,BR,-11.6936,-41.4683,66.78,91,40,1.52,scattered clouds
192,Salalah,OM,17.0151,54.0924,77.09,33,0,8.05,clear sky
193,Udankudi,IN,8.4333,78.0167,77.18,90,100,16.69,overcast clouds
194,Nanortalik,GL,60.1432,-45.2371,39.49,91,100,12.59,overcast clouds
195,Cherskiy,RU,68.75,161.3,-18.89,97,100,5.19,overcast clouds
196,Broome,US,42.2506,-75.833,32.77,100,90,8.05,light snow
197,Souillac,MU,-20.5167,57.5167,73.78,83,75,4.61,broken clouds
198,Snasa,NO,64.2457,12.3778,11.07,92,85,4.41,overcast clouds
199,Bonavista,CA,48.6499,-53.1147,37.4,77,68,18.45,broken clouds
200,Maniitsoq,GL,65.4167,-52.9,35.26,92,100,24.81,overcast clouds
201,Hobyo,SO,5.3505,48.5268,80.76,75,23,15.37,few clouds
202,Urubicha,BO,-15.3833,-62.95,71.96,98,80,2.17,broken clouds
203,Kahului,US,20.8947,-156.47,78.06,73,40,14.97,scattered clouds
204,Puerto Leguizamo,CO,-0.1934,-74.7819,72.73,97,83,2.73,broken clouds
205,Edd,ER,13.9297,41.6925,80.71,58,5,1.05,clear sky
206,Moranbah,AU,-22.0016,148.0466,82.47,63,99,10.58,overcast clouds
207,Lorengau,PG,-2.0226,147.2712,84.81,71,77,5.26,broken clouds
208,Nagymanyok,HU,46.2791,18.4549,38.12,85,100,7.76,overcast clouds
209,Karpogory,RU,64.0019,44.4451,8.92,95,100,7.05,overcast clouds
210,Kashima,JP,33.1061,130.0906,56.91,50,1,3.11,clear sky
211,Le Port,RE,-20.9373,55.2919,73.4,82,53,1.88,light rain
212,Lompoc,US,34.6391,-120.4579,62.74,73,1,3.44,clear sky
213,Olafsvik,IS,64.8945,-23.7142,38.08,85,94,12.68,overcast clouds
214,Klaksvik,FO,62.2266,-6.589,40.12,97,100,16.91,overcast clouds
215,Port Keats,AU,-14.25,129.55,96.62,35,97,6.6,overcast clouds
216,Kholtoson,RU,50.2981,103.3097,13.28,67,35,3.13,scattered clouds
217,Haines Junction,CA,60.7522,-137.5108,-16.65,76,100,3.44,overcast clouds
218,Narrabri,AU,-30.3167,149.7833,78.89,53,90,10.36,overcast clouds
219,Ridgecrest,US,35.6225,-117.6709,55.26,10,1,4.61,clear sky
220,Ahipara,NZ,-35.1667,173.1667,70.2,61,82,6.17,broken clouds
221,Kawalu,ID,-7.3817,108.2082,82.89,62,74,3.76,broken clouds
222,Georgetown,MY,5.4112,100.3354,80.53,89,20,3.44,few clouds
223,Coquimbo,CL,-29.9533,-71.3436,58.73,88,0,3.44,clear sky
224,Calabozo,VE,8.9242,-67.4293,80.85,66,100,6.98,overcast clouds
225,Qaqortoq,GL,60.7167,-46.0333,37.9,97,100,8.12,overcast clouds
226,Rybnoye,RU,54.7256,39.5119,30.33,96,100,7.02,overcast clouds
227,Tiznit,MA,29.5833,-9.5,53.55,40,0,3.2,clear sky
228,Dryden,CA,49.7833,-92.7503,23.29,80,90,6.91,overcast clouds
229,Port Washington,US,40.8257,-73.6982,40.59,65,75,5.75,broken clouds
230,Byron Bay,AU,-28.65,153.6167,78.91,73,56,8.95,broken clouds
231,Muncar,ID,-8.4333,114.3333,75.04,90,100,2.04,overcast clouds
232,Severo-Kurilsk,RU,50.6789,156.125,33.96,66,89,15.26,overcast clouds
233,Abohar,IN,30.15,74.1833,61.93,32,0,2.93,clear sky
234,Murgab,TM,37.4966,61.9714,44.47,76,100,9.22,overcast clouds
235,Brae,GB,60.3964,-1.353,39.11,59,100,8.3,overcast clouds
236,Ambilobe,MG,-13.2,49.05,75.02,85,14,2.37,few clouds
237,Makokou,GA,0.5738,12.8642,68.56,93,84,2.17,broken clouds
238,Puerto Colombia,CO,10.9878,-74.9547,80.69,82,100,19.98,overcast clouds
239,Margate,GB,51.3813,1.3862,31.86,84,16,22.12,few clouds
240,Zhigansk,RU,66.7697,123.3711,-10.86,97,100,7.0,overcast clouds
241,Palana,RU,59.1167,159.9667,10.51,81,98,8.88,overcast clouds
242,Togur,RU,58.3631,82.8265,18.61,94,100,8.99,overcast clouds
243,Narsaq,GL,60.9167,-46.05,37.62,99,100,3.51,overcast clouds
244,Mhlume,SZ,-26.0333,31.85,66.31,76,0,4.29,clear sky
245,Roald,NO,62.5833,6.1333,28.54,80,90,11.5,light snow
246,Cap Malheureux,MU,-19.9842,57.6142,73.89,66,1,8.63,clear sky
247,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,64.98,96,100,7.96,overcast clouds
248,Chake Chake,TZ,-5.2459,39.7666,76.59,81,28,1.61,scattered clouds
249,Alofi,NU,-19.0595,-169.9187,80.49,57,1,19.57,clear sky
250,San Juan,AR,-31.5375,-68.5364,71.6,23,0,6.26,clear sky
251,Luwingu,ZM,-10.2621,29.9271,64.18,88,100,2.48,overcast clouds
252,San Patricio,US,28.017,-97.5169,57.04,82,61,6.58,broken clouds
253,Hasaki,JP,35.7333,140.8333,52.09,48,100,10.27,overcast clouds
254,Aksarka,RU,66.5606,67.7975,5.14,96,100,10.65,snow
255,Tshikapa,CD,-6.4167,20.8,67.59,98,100,1.61,overcast clouds
256,Yulara,AU,-25.2406,130.9889,85.84,15,0,5.75,clear sky
257,Aykhal,RU,66.0,111.5,-15.34,100,99,2.13,overcast clouds
258,Chara,RU,56.9064,118.2631,-5.48,79,100,1.34,overcast clouds
259,Asau,RO,46.4333,26.4,41.92,83,83,5.79,broken clouds
260,San Vicente,AR,-26.6167,-54.1333,60.39,100,74,2.17,broken clouds
261,Anadyr,RU,64.75,177.4833,3.7,85,90,4.47,light snow
262,Sorong,ID,-0.8833,131.25,84.61,70,81,7.29,broken clouds
263,Lavrentiya,RU,65.5833,-171.0,-12.42,91,9,7.58,clear sky
264,Mindelo,CV,16.8901,-24.9804,72.95,60,40,25.32,scattered clouds
265,Naryan-Mar,RU,67.6713,53.087,2.86,95,100,10.16,overcast clouds
266,Yuzhno-Sukhokumsk,RU,44.6581,45.6436,45.41,97,100,9.78,overcast clouds
267,Guiglo,CI,6.5456,-7.4966,72.27,96,7,1.79,clear sky
268,Sant Julia De Loria,AD,42.4625,1.4825,19.47,93,47,8.05,scattered clouds
269,Houma,US,29.5958,-90.7195,59.0,84,90,8.14,overcast clouds
270,Alice Springs,AU,-23.7,133.8833,81.95,24,0,4.61,clear sky
271,Sioux Lookout,CA,50.1001,-91.917,23.38,86,90,4.61,light snow
272,Altagracia De Orituco,VE,9.8601,-66.3814,70.65,95,65,3.94,broken clouds
273,Puerto Madryn,AR,-42.7692,-65.0385,67.01,35,12,12.08,few clouds
274,Kaitangata,NZ,-46.2817,169.8464,69.78,37,8,3.8,clear sky
275,Manati,PR,18.4275,-66.4921,80.19,86,26,6.22,scattered clouds
276,Taupo,NZ,-38.6833,176.0833,71.73,47,98,0.22,overcast clouds
277,Aguimes,ES,27.9054,-15.4461,61.43,68,75,26.46,broken clouds
278,Norman Wells,CA,65.282,-126.8329,-14.76,70,90,14.97,light snow
279,Upata,VE,8.0086,-62.3989,69.84,97,36,4.25,scattered clouds
280,Taunggyi,MM,20.7833,97.0333,67.68,60,88,2.62,overcast clouds
281,Kohlu,PK,29.8962,69.252,52.29,32,0,2.42,clear sky
282,Gisborne,NZ,-38.6533,178.0042,69.37,70,22,10.49,few clouds
283,Awbari,LY,26.5921,12.7805,64.38,34,100,17.67,overcast clouds
